LEM: log-linear and event history analysis with missing data.
Developed by Jeroen Vermunt (c), Tilburg University, The Netherlands.
Version 1.0 (September 18, 1997).


*** INPUT ***

  lat 2
man 8
dim 2 2 2 2 2 2 2 2 2 3
lab Y Z A B C D E S T G
mod SG T|SG {SG ST GT} YZ|SGT {SGTYZ} A|Y B|Y E|Y C|Z D|Z
ite 10000
dat [0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 4 0 0 1 0 1 1 0 0 2 1 0 6 3 1 3 1 1 4 4 1 1 1 0 0 0 1 0 2 1 0 0 0 0 0 0 2 3 0 0 2 2 0 3 2 0 4 1 0 1 1 0 1 1 2 1 0 0 0 0 4 7 4 0 4 2 4 2 0 0 3 2 0 1 0 8 1 2 1 0 0 5 3 7 0 1 0 3 5 3 0 0 1 1 2 2 2 0 1 9 4 2 8 3 0 12 6 1 10 3 1 6 2 1 7 3 1 11 6 3 0 1 0 2 10 13 3 2 2 8 21 47 0 3 1 1 11 10 2 1 5 4 13 17 1 1 2 9 7 7 3 3 0 7 11 8 1 4 0 3 7 5 1 9 1 3 6 4 0 0 0 1 0 1 0 0 0 1 0 0 1 3 2 0 0 2 0 3 0 0 0 1 2 1 0 0 0 0 2 1 0 1 0 1 11 6 5 2 4 0 13 7 4 1 1 1 1 1 0 0 0 1 1 0 0 0 0 3 1 5 10 1 0 5 0 2 4 1 4 5 3 2 0 0 1 0 2 0 2 0 0 0 10 17 4 0 3 1 5 7 4 3 5 4 0 0 0 3 0 1 0 2 0 4 2 4 1 3 0 0 2 1 1 1 3 2 0 2 2 1 0 7 0 3 6 0 1 8 4 1 13 7 1 10 4 3 9 8 6 4 6 9 0 1 0 3 4 6 4 0 6 6 4 15 5 7 4 2 7 8 2 6 9 3 15 24 6 1 1 3 4 3 3 4 4 7 5 5 14 8 6 6 9 5 7 6 8 6 17 4]
see 166



*** STATISTICS ***

  Number of iterations = 128
  Converge criterion   = 0.0000009274
  Seed random values   = 166

  X-squared            = 396.6483 (0.0056)
  L-squared            = 397.9029 (0.0049)
  Cressie-Read         = 378.1620 (0.0292)
  Dissimilarity index  = 0.1992
  Degrees of freedom   = 328
  Log-likelihood       = -6220.37133
  Number of parameters = 55 (+1)
  Sample size          = 1156.0
  BIC(L-squared)       = -1915.3897
  AIC(L-squared)       = -258.0971
  BIC(log-likelihood)  = 12828.6423
  AIC(log-likelihood)  = 12550.7427

  Eigenvalues information matrix
    1367.8068  1281.2218  1171.5173  1169.9163  1153.0331  1103.6546
    1041.1170  1030.2976   956.4542   942.5172   869.3793   866.9755
     734.7926   683.2680   642.6747   616.2296   569.1118   557.5555
     482.8924   429.1562   409.4444   381.9020   370.9609   366.6664
     345.7673   328.9501   305.7067   270.7197   262.0689   238.0976
     216.4207   197.4698   176.0421   149.4110   143.3012   108.5528
     102.4916    94.4760    82.9766    64.4790    56.6233    45.7240
      36.9433    33.7877    25.3626    19.3820    13.8404     7.5760
       4.7180     0.0003     0.0001    -0.0002    -0.0003    -0.0011
      -0.0023

WARNING: 6 (nearly) boundary or non-identified (log-linear) parameters



*** FREQUENCIES ***

  A B C D E S T G     observed  estimated  std. res.
  1 1 2 1 1 2 1 1       0.000      0.193     -0.440
  1 1 2 1 1 2 1 2       0.000      0.260     -0.510
  1 1 2 1 1 2 1 3       0.000      0.452     -0.672
  1 1 2 1 1 2 2 1       0.000      0.414     -0.643
  1 1 2 1 1 2 2 2       0.000      1.032     -1.016
  1 1 2 1 1 2 2 3       0.000      1.844     -1.358
  1 1 2 1 2 1 1 1       2.000      0.983      1.026
  1 1 2 1 2 1 1 2       3.000      2.498      0.318
  1 1 2 1 2 1 1 3       0.000      2.021     -1.422
  1 1 2 1 2 1 2 1       0.000      0.263     -0.513
  1 1 2 1 2 1 2 2       2.000      0.909      1.145
  1 1 2 1 2 1 2 3       2.000      2.220     -0.148
  1 1 2 1 2 2 1 1       0.000      0.433     -0.658
  1 1 2 1 2 2 1 2       3.000      1.504      1.220
  1 1 2 1 2 2 1 3       2.000      2.092     -0.064
  1 1 2 1 2 2 2 1       0.000      0.428     -0.654
  1 1 2 1 2 2 2 2       4.000      2.538      0.918
  1 1 2 1 2 2 2 3       1.000      2.549     -0.970
  1 1 2 2 1 1 1 1       0.000      0.676     -0.822
  1 1 2 2 1 1 1 2       1.000      0.489      0.732
  1 1 2 2 1 1 1 3       1.000      0.237      1.569
  1 1 2 2 1 1 2 1       0.000      0.536     -0.732
  1 1 2 2 1 1 2 2       1.000      0.485      0.739
  1 1 2 2 1 1 2 3       1.000      0.371      1.033
  1 1 2 2 1 2 1 1       2.000      0.577      1.873
  1 1 2 2 1 2 1 2       1.000      0.500      0.706
  1 1 2 2 1 2 1 3       0.000      0.292     -0.540
  1 1 2 2 1 2 2 1       0.000      0.622     -0.789
  1 1 2 2 1 2 2 2       0.000      0.652     -0.807
  1 1 2 2 1 2 2 3       0.000      0.638     -0.799
  1 1 2 2 2 1 1 1       4.000      4.500     -0.236
  1 1 2 2 2 1 1 2       7.000      3.430      1.928
  1 1 2 2 2 1 1 3       4.000      1.528      2.000
  1 1 2 2 2 1 2 1       0.000      0.853     -0.924
  1 1 2 2 2 1 2 2       4.000      1.710      1.751
  1 1 2 2 2 1 2 3       2.000      0.892      1.174
  1 1 2 2 2 2 1 1       4.000      2.724      0.773
  1 1 2 2 2 2 1 2       2.000      2.752     -0.453
  1 1 2 2 2 2 1 3       0.000      1.772     -1.331
  1 1 2 2 2 2 2 1       0.000      0.865     -0.930
  1 1 2 2 2 2 2 2       3.000      1.796      0.899
  1 1 2 2 2 2 2 3       2.000      1.621      0.297
  1 2 1 1 1 1 1 1       0.000      0.275     -0.525
  1 2 1 1 1 1 1 2       1.000      0.230      1.603
  1 2 1 1 1 1 1 3       0.000      0.149     -0.385
  1 2 1 1 1 1 2 1       8.000      1.775      4.672
  1 2 1 1 1 1 2 2       1.000      2.463     -0.932
  1 2 1 1 1 1 2 3       2.000      2.258     -0.172
  1 2 1 1 1 2 1 1       1.000      1.057     -0.056
  1 2 1 1 1 2 1 2       0.000      0.591     -0.769
  1 2 1 1 1 2 1 3       0.000      0.648     -0.805
  1 2 1 1 1 2 2 1       5.000      2.605      1.484
  1 2 1 1 1 2 2 2       3.000      3.216     -0.120
  1 2 1 1 1 2 2 3       7.000      5.452      0.663
  1 2 1 1 2 1 1 1       0.000      0.874     -0.935
  1 2 1 1 2 1 1 2       1.000      0.875      0.133
  1 2 1 1 2 1 1 3       0.000      0.520     -0.721
  1 2 1 1 2 1 2 1       3.000      1.188      1.663
  1 2 1 1 2 1 2 2       5.000      1.780      2.414
  1 2 1 1 2 1 2 3       3.000      1.698      1.000
  1 2 1 1 2 2 1 1       0.000      1.035     -1.017
  1 2 1 1 2 2 1 2       0.000      0.885     -0.941
  1 2 1 1 2 2 1 3       1.000      0.854      0.158
  1 2 1 1 2 2 2 1       1.000      1.696     -0.534
  1 2 1 1 2 2 2 2       2.000      2.417     -0.268
  1 2 1 1 2 2 2 3       2.000      3.711     -0.888
  1 2 1 2 1 1 1 1       2.000      2.007     -0.005
  1 2 1 2 1 1 1 2       0.000      0.531     -0.729
  1 2 1 2 1 1 1 3       1.000      0.807      0.215
  1 2 1 2 1 1 2 1       9.000     10.760     -0.537
  1 2 1 2 1 1 2 2       4.000      3.144      0.483
  1 2 1 2 1 1 2 3       2.000      3.467     -0.788
  1 2 1 2 1 2 1 1       8.000      5.047      1.314
  1 2 1 2 1 2 1 2       3.000      3.307     -0.169
  1 2 1 2 1 2 1 3       0.000      0.383     -0.619
  1 2 1 2 1 2 2 1      12.000     11.752      0.072
  1 2 1 2 1 2 2 2       6.000      6.842     -0.322
  1 2 1 2 1 2 2 3       1.000      1.663     -0.514
  1 2 1 2 2 1 1 1      10.000      6.111      1.573
  1 2 1 2 2 1 1 2       3.000      3.584     -0.308
  1 2 1 2 2 1 1 3       1.000      1.679     -0.524
  1 2 1 2 2 1 2 1       6.000      7.241     -0.461
  1 2 1 2 2 1 2 2       2.000      3.574     -0.833
  1 2 1 2 2 1 2 3       1.000      2.452     -0.927
  1 2 1 2 2 2 1 1       7.000      5.997      0.410
  1 2 1 2 2 2 1 2       3.000      4.709     -0.788
  1 2 1 2 2 2 1 3       1.000      1.692     -0.532
  1 2 1 2 2 2 2 1      11.000      7.792      1.149
  1 2 1 2 2 2 2 2       6.000      5.395      0.261
  1 2 1 2 2 2 2 3       3.000      2.144      0.585
  1 2 2 1 1 1 1 1       0.000      0.284     -0.533
  1 2 2 1 1 1 1 2       1.000      1.108     -0.103
  1 2 2 1 1 1 1 3       0.000      0.363     -0.602
  1 2 2 1 1 1 2 1       2.000      3.487     -0.796
  1 2 2 1 1 1 2 2      10.000     13.760     -1.014
  1 2 2 1 1 1 2 3      13.000     12.173      0.237
  1 2 2 1 1 2 1 1       3.000      3.109     -0.062
  1 2 2 1 1 2 1 2       2.000      1.368      0.540
  1 2 2 1 1 2 1 3       2.000      3.958     -0.984
  1 2 2 1 1 2 2 1       8.000      8.176     -0.062
  1 2 2 1 1 2 2 2      21.000     15.893      1.281
  1 2 2 1 1 2 2 3      47.000     34.468      2.135
  1 2 2 1 2 1 1 1       0.000      1.100     -1.049
  1 2 2 1 2 1 1 2       3.000      3.024     -0.014
  1 2 2 1 2 1 1 3       1.000      2.133     -0.776
  1 2 2 1 2 1 2 1       1.000      2.300     -0.857
  1 2 2 1 2 1 2 2      11.000      8.956      0.683
  1 2 2 1 2 1 2 3      10.000      9.268      0.241
  1 2 2 1 2 2 1 1       2.000      2.240     -0.160
  1 2 2 1 2 2 1 2       1.000      2.233     -0.825
  1 2 2 1 2 2 1 3       5.000      4.315      0.330
  1 2 2 1 2 2 2 1       4.000      5.215     -0.532
  1 2 2 1 2 2 2 2      13.000     11.757      0.362
  1 2 2 1 2 2 2 3      17.000     22.692     -1.195
  1 2 2 2 1 1 1 1       1.000      1.717     -0.547
  1 2 2 2 1 1 1 2       1.000      0.703      0.355
  1 2 2 2 1 1 1 3       2.000      0.750      1.443
  1 2 2 2 1 1 2 1       9.000      9.678     -0.218
  1 2 2 2 1 1 2 2       7.000      5.893      0.456
  1 2 2 2 1 1 2 3       7.000      5.776      0.509
  1 2 2 2 1 2 1 1       3.000      4.894     -0.856
  1 2 2 2 1 2 1 2       3.000      3.046     -0.026
  1 2 2 2 1 2 1 3       0.000      1.266     -1.125
  1 2 2 2 1 2 2 1       7.000     11.620     -1.355
  1 2 2 2 1 2 2 2      11.000      9.444      0.506
  1 2 2 2 1 2 2 3       8.000      9.657     -0.533
  1 2 2 2 2 1 1 1       1.000      5.284     -1.864
  1 2 2 2 2 1 1 2       4.000      3.671      0.172
  1 2 2 2 2 1 1 3       0.000      1.893     -1.376
  1 2 2 2 2 1 2 1       3.000      6.502     -1.373
  1 2 2 2 2 1 2 2       7.000      5.090      0.846
  1 2 2 2 2 1 2 3       5.000      4.244      0.367
  1 2 2 2 2 2 1 1       1.000      5.465     -1.910
  1 2 2 2 2 2 1 2       9.000      4.406      2.189
  1 2 2 2 2 2 1 3       1.000      2.428     -0.916
  1 2 2 2 2 2 2 1       3.000      7.655     -1.682
  1 2 2 2 2 2 2 2       6.000      7.260     -0.467
  1 2 2 2 2 2 2 3       4.000      7.219     -1.198
  2 1 1 1 1 1 1 1       0.000      0.276     -0.526
  2 1 1 1 1 1 1 2       0.000      0.286     -0.535
  2 1 1 1 1 1 1 3       0.000      0.167     -0.409
  2 1 1 1 1 1 2 1       1.000      0.086      3.124
  2 1 1 1 1 1 2 2       0.000      0.169     -0.411
  2 1 1 1 1 1 2 3       1.000      0.180      1.931
  2 1 1 1 1 2 1 1       0.000      0.176     -0.419
  2 1 1 1 1 2 1 2       0.000      0.215     -0.464
  2 1 1 1 1 2 1 3       0.000      0.191     -0.438
  2 1 1 1 1 2 2 1       1.000      0.108      2.718
  2 1 1 1 1 2 2 2       0.000      0.257     -0.507
  2 1 1 1 1 2 2 3       0.000      0.287     -0.536
  2 1 1 1 2 1 1 1       1.000      1.944     -0.677
  2 1 1 1 2 1 1 2       3.000      2.024      0.686
  2 1 1 1 2 1 1 3       2.000      1.181      0.753
  2 1 1 1 2 1 2 1       0.000      0.290     -0.539
  2 1 1 1 2 1 2 2       0.000      0.765     -0.875
  2 1 1 1 2 1 2 3       2.000      0.884      1.187
  2 1 1 1 2 2 1 1       0.000      1.074     -1.036
  2 1 1 1 2 2 1 2       3.000      1.445      1.294
  2 1 1 1 2 2 1 3       0.000      1.263     -1.124
  2 1 1 1 2 2 2 1       0.000      0.297     -0.545
  2 1 1 1 2 2 2 2       0.000      1.259     -1.122
  2 1 1 1 2 2 2 3       1.000      1.065     -0.063
  2 1 1 2 1 1 1 1       2.000      1.914      0.062
  2 1 1 2 1 1 1 2       1.000      1.256     -0.229
  2 1 1 2 1 1 1 3       0.000      0.473     -0.688
  2 1 1 2 1 1 2 1       0.000      0.535     -0.732
  2 1 1 2 1 1 2 2       0.000      0.712     -0.844
  2 1 1 2 1 1 2 3       0.000      0.218     -0.467
  2 1 1 2 1 2 1 1       2.000      1.242      0.680
  2 1 1 2 1 2 1 2       1.000      1.111     -0.105
  2 1 1 2 1 2 1 3       0.000      0.566     -0.752
  2 1 1 2 1 2 2 1       1.000      0.540      0.626
  2 1 1 2 1 2 2 2       0.000      0.642     -0.801
  2 1 1 2 1 2 2 3       1.000      0.473      0.766
  2 1 1 2 2 1 1 1      11.000     13.457     -0.670
  2 1 1 2 2 1 1 2       6.000      8.977     -0.994
  2 1 1 2 2 1 1 3       5.000      3.270      0.956
  2 1 1 2 2 1 2 1       2.000      1.876      0.090
  2 1 1 2 2 1 2 2       4.000      4.564     -0.264
  2 1 1 2 2 1 2 3       0.000      0.933     -0.966
  2 1 1 2 2 2 1 1      13.000      8.042      1.749
  2 1 1 2 2 2 1 2       7.000      7.416     -0.153
  2 1 1 2 2 2 1 3       4.000      4.016     -0.008
  2 1 1 2 2 2 2 1       1.000      1.728     -0.554
  2 1 1 2 2 2 2 2       1.000      3.369     -1.291
  2 1 1 2 2 2 2 3       1.000      3.112     -1.197
  2 1 2 1 1 1 1 1       1.000      0.361      1.064
  2 1 2 1 1 1 1 2       1.000      0.924      0.080
  2 1 2 1 1 1 1 3       0.000      0.738     -0.859
  2 1 2 1 1 1 2 1       0.000      0.156     -0.395
  2 1 2 1 1 1 2 2       0.000      0.569     -0.754
  2 1 2 1 1 1 2 3       1.000      1.016     -0.016
  2 1 2 1 1 2 1 1       1.000      0.211      1.717
  2 1 2 1 1 2 1 2       0.000      0.568     -0.754
  2 1 2 1 1 2 1 3       0.000      0.826     -0.909
  2 1 2 1 1 2 2 1       0.000      0.297     -0.545
  2 1 2 1 1 2 2 2       0.000      1.196     -1.093
  2 1 2 1 1 2 2 3       3.000      1.523      1.197
  2 1 2 1 2 1 1 1       1.000      2.554     -0.972
  2 1 2 1 2 1 1 2       5.000      6.467     -0.577
  2 1 2 1 2 1 1 3      10.000      5.266      2.063
  2 1 2 1 2 1 2 1       1.000      0.482      0.747
  2 1 2 1 2 1 2 2       0.000      1.561     -1.249
  2 1 2 1 2 1 2 3       5.000      5.087     -0.038
  2 1 2 1 2 2 1 1       0.000      0.949     -0.974
  2 1 2 1 2 2 1 2       2.000      3.853     -0.944
  2 1 2 1 2 2 1 3       4.000      5.238     -0.541
  2 1 2 1 2 2 2 1       1.000      0.635      0.458
  2 1 2 1 2 2 2 2       4.000      5.697     -0.711
  2 1 2 1 2 2 2 3       5.000      4.624      0.175
  2 1 2 2 1 1 1 1       3.000      1.659      1.041
  2 1 2 2 1 1 1 2       2.000      1.254      0.666
  2 1 2 2 1 1 1 3       0.000      0.566     -0.753
  2 1 2 2 1 1 2 1       0.000      0.477     -0.691
  2 1 2 2 1 1 2 2       1.000      0.722      0.327
  2 1 2 2 1 1 2 3       0.000      0.423     -0.651
  2 1 2 2 1 2 1 1       2.000      1.071      0.897
  2 1 2 2 1 2 1 2       0.000      1.049     -1.024
  2 1 2 2 1 2 1 3       2.000      0.663      1.641
  2 1 2 2 1 2 2 1       0.000      0.515     -0.718
  2 1 2 2 1 2 2 2       0.000      0.815     -0.903
  2 1 2 2 1 2 2 3       0.000      0.755     -0.869
  2 1 2 2 2 1 1 1      10.000     11.669     -0.489
  2 1 2 2 2 1 1 2      17.000      8.930      2.700
  2 1 2 2 2 1 1 3       4.000      3.953      0.024
  2 1 2 2 2 1 2 1       0.000      1.657     -1.287
  2 1 2 2 2 1 2 2       3.000      4.125     -0.554
  2 1 2 2 2 1 2 3       1.000      1.990     -0.702
  2 1 2 2 2 2 1 1       5.000      6.834     -0.702
  2 1 2 2 2 2 1 2       7.000      7.019     -0.007
  2 1 2 2 2 2 1 3       4.000      4.559     -0.262
  2 1 2 2 2 2 2 1       3.000      1.572      1.138
  2 1 2 2 2 2 2 2       5.000      4.138      0.424
  2 1 2 2 2 2 2 3       4.000      3.668      0.173
  2 2 1 1 1 1 1 1       0.000      0.380     -0.616
  2 2 1 1 1 1 1 2       0.000      0.362     -0.602
  2 2 1 1 1 1 1 3       0.000      0.220     -0.469
  2 2 1 1 1 1 2 1       3.000      1.075      1.856
  2 2 1 1 1 1 2 2       0.000      1.533     -1.238
  2 2 1 1 1 1 2 3       1.000      1.425     -0.356
  2 2 1 1 1 2 1 1       0.000      0.742     -0.861
  2 2 1 1 1 2 1 2       2.000      0.509      2.090
  2 2 1 1 1 2 1 3       0.000      0.522     -0.723
  2 2 1 1 1 2 2 1       4.000      1.563      1.949
  2 2 1 1 1 2 2 2       2.000      2.030     -0.021
  2 2 1 1 1 2 2 3       4.000      3.322      0.372
  2 2 1 1 2 1 1 1       1.000      2.070     -0.744
  2 2 1 1 2 1 1 2       3.000      2.136      0.591
  2 2 1 1 2 1 1 3       0.000      1.251     -1.119
  2 2 1 1 2 1 2 1       0.000      0.908     -0.953
  2 2 1 1 2 1 2 2       2.000      1.628      0.291
  2 2 1 1 2 1 2 3       1.000      1.678     -0.523
  2 2 1 1 2 2 1 1       1.000      1.456     -0.378
  2 2 1 1 2 2 1 2       1.000      1.672     -0.520
  2 2 1 1 2 2 1 3       3.000      1.507      1.216
  2 2 1 1 2 2 2 1       2.000      1.201      0.729
  2 2 1 1 2 2 2 2       0.000      2.389     -1.546
  2 2 1 1 2 2 2 3       2.000      2.965     -0.561
  2 2 1 2 1 1 1 1       2.000      2.688     -0.420
  2 2 1 2 1 1 1 2       1.000      1.319     -0.277
  2 2 1 2 1 1 1 3       0.000      0.841     -0.917
  2 2 1 2 1 1 2 1       7.000      6.530      0.184
  2 2 1 2 1 1 2 2       0.000      2.359     -1.536
  2 2 1 2 1 1 2 3       3.000      2.141      0.587
  2 2 1 2 1 2 1 1       6.000      3.866      1.085
  2 2 1 2 1 2 1 2       0.000      2.774     -1.666
  2 2 1 2 1 2 1 3       1.000      0.675      0.395
  2 2 1 2 1 2 2 1       8.000      7.096      0.339
  2 2 1 2 1 2 2 2       4.000      4.397     -0.189
  2 2 1 2 1 2 2 3       1.000      1.326     -0.283
  2 2 1 2 2 1 1 1      13.000     14.365     -0.360
  2 2 1 2 2 1 1 2       7.000      9.303     -0.755
  2 2 1 2 2 1 1 3       1.000      3.601     -1.371
  2 2 1 2 2 1 2 1      10.000      5.623      1.846
  2 2 1 2 2 1 2 2       4.000      5.723     -0.720
  2 2 1 2 2 1 2 3       3.000      2.146      0.583
  2 2 1 2 2 2 1 1       9.000      9.913     -0.290
  2 2 1 2 2 2 1 2       8.000      8.676     -0.229
  2 2 1 2 2 2 1 3       6.000      4.212      0.871
  2 2 1 2 2 2 2 1       4.000      5.815     -0.753
  2 2 1 2 2 2 2 2       6.000      5.786      0.089
  2 2 1 2 2 2 2 3       9.000      3.736      2.724
  2 2 2 1 1 1 1 1       0.000      0.453     -0.673
  2 2 2 1 1 1 1 2       1.000      1.376     -0.321
  2 2 2 1 1 1 1 3       0.000      0.804     -0.896
  2 2 2 1 1 1 2 1       3.000      2.102      0.620
  2 2 2 1 1 1 2 2       4.000      8.257     -1.482
  2 2 2 1 1 1 2 3       6.000      7.720     -0.619
  2 2 2 1 1 2 1 1       4.000      1.933      1.487
  2 2 2 1 1 2 1 2       0.000      1.236     -1.112
  2 2 2 1 1 2 1 3       6.000      2.912      1.810
  2 2 2 1 1 2 2 1       6.000      4.873      0.510
  2 2 2 1 1 2 2 2       4.000      9.973     -1.891
  2 2 2 1 1 2 2 3      15.000     20.763     -1.265
  2 2 2 1 2 1 1 1       5.000      2.693      1.406
  2 2 2 1 2 1 1 2       7.000      6.953      0.018
  2 2 2 1 2 1 1 3       4.000      5.475     -0.630
  2 2 2 1 2 1 2 1       2.000      1.694      0.235
  2 2 2 1 2 1 2 2       7.000      6.339      0.263
  2 2 2 1 2 1 2 3       8.000      9.372     -0.448
  2 2 2 1 2 2 1 1       2.000      2.038     -0.027
  2 2 2 1 2 2 1 2       6.000      4.387      0.770
  2 2 2 1 2 2 1 3       9.000      6.688      0.894
  2 2 2 1 2 2 2 1       3.000      3.469     -0.252
  2 2 2 1 2 2 2 2      15.000     11.277      1.109
  2 2 2 1 2 2 2 3      24.000     16.603      1.815
  2 2 2 2 1 1 1 1       6.000      2.317      2.420
  2 2 2 2 1 1 1 2       1.000      1.414     -0.348
  2 2 2 2 1 1 1 3       1.000      0.884      0.124
  2 2 2 2 1 1 2 1       3.000      5.870     -1.185
